trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00015,2023-01-01,10:41:44,Metro,Route_14,Station_12,Station_14,11:44:06,12:18:28,6.3,27.6,Clear,25.9,29.6,19.9,0.7,Parade,47143,71,0,0,0,Spring,1
T00016,2023-01-01,13:34:26,Train,Route_14,Station_49,Station_48,15:34:29,15:55:40,0.9,-2.5,Clear,11.7,37.4,51.9,0.3,None,0,23,1,0,1,Summer,0
T00017,2023-01-01,18:14:28,Metro,Route_17,Station_14,Station_33,08:21:06,09:09:48,11.1,34.0,Cloudy,23.3,82.7,40.5,0.0,None,0,17,0,1,0,Summer,1
T00018,2023-01-01,14:37:17,Bus,Route_15,Station_10,Station_22,06:03:39,06:26:57,4.2,26.7,Cloudy,24.6,56.6,42.8,1.4,Festival,3585,14,0,0,5,Spring,1
T00019,2023-01-01,00:51:55,Train,Route_17,Station_28,Station_17,22:29:38,23:58:25,14.1,13.2,Rain,25.2,35.6,18.0,7.0,None,0,40,1,0,3,Autumn,1
T00020,2023-01-01,04:00:48,Tram,Route_9,Station_16,Station_23,15:10:04,15:01:08,16.0,24.1,Rain,25.8,70.0,56.7,6.7,None,0,74,0,0,1,Autumn,1
T00021,2023-01-01,15:51:10,Metro,Route_5,Station_23,Station_40,14:22:40,14:12:22,10.7,34.9,Snow,13.8,71.2,49.9,5.9,None,0,17,0,0,3,Summer,1
T00022,2023-01-01,06:44:27,Tram,Route_5,Station_37,Station_8,19:35:56,20:51:04,5.0,23.6,Snow,23.1,46.3,72.5,33.9,None,0,19,0,0,5,Summer,1
T00023,2023-01-01,01:21:17,Bus,Route_13,Station_4,Station_9,10:14:22,10:23:32,-0.8,0.4,Clear,35.8,31.5,48.0,1.2,Festival,22989,86,0,0,5,Summer,0
T00024,2023-01-01,13:09:13,Train,Route_11,Station_26,Station_16,05:40:00,05:23:01,-1.7,0.9,Clear,-1.9,65.1,55.5,1.0,None,0,19,0,0,6,Spring,0
T00025,2023-01-02,07:48:21,Train,Route_2,Station_2,Station_25,12:59:12,12:04:23,10.5,21.3,Snow,30.2,65.1,27.6,25.1,Parade,22931,61,0,1,1,Summer,1
T00026,2023-01-02,20:06:05,Metro,Route_5,Station_3,Station_41,08:17:18,08:12:43,1.0,-2.3,Cloudy,0.8,56.6,15.0,0.0,None,0,37,0,0,1,Autumn,0
T00027,2023-01-02,21:24:06,Tram,Route_20,Station_5,Station_11,05:52:58,06:00:04,11.5,32.3,Cloudy,16.0,97.6,75.8,1.2,Sports,22792,98,0,0,5,Winter,1
T00028,2023-01-02,03:22:54,Train,Route_15,Station_9,Station_40,20:55:27,20:28:14,2.7,1.5,Clear,2.4,45.6,48.3,1.4,Festival,16597,93,1,0,6,Winter,0
T00029,2023-01-02,18:22:38,Metro,Route_16,Station_18,Station_46,19:37:46,20:43:46,8.1,31.0,Rain,30.2,60.2,38.3,20.0,None,0,81,0,1,1,Spring,1
T00030,2023-01-02,20:16:51,Tram,Route_4,Station_47,Station_22,09:19:23,09:40:05,12.8,45.9,Clear,-3.3,70.8,79.9,0.2,Festival,45829,72,0,0,4,Summer,1
T00031,2023-01-02,15:02:46,Tram,Route_2,Station_46,Station_49,21:39:49,22:27:31,-1.3,-1.6,Clear,26.6,75.2,21.2,0.6,Protest,12073,30,0,0,4,Winter,0
T00032,2023-01-02,14:29:34,Bus,Route_6,Station_6,Station_45,06:25:59,06:51:06,15.2,20.3,Fog,13.1,87.6,56.5,0.2,Festival,35520,73,0,0,6,Summer,1
T00033,2023-01-02,11:07:59,Bus,Route_18,Station_50,Station_40,06:16:35,07:20:27,7.5,37.2,Rain,6.9,37.7,18.0,5.2,Concert,40266,10,0,0,1,Winter,1
T00034,2023-01-02,11:24:05,Metro,Route_11,Station_32,Station_20,17:34:41,17:03:22,6.9,22.7,Clear,38.2,89.0,35.2,0.7,Concert,3316,79,0,0,2,Winter,1
T00035,2023-01-02,01:35:18,Train,Route_16,Station_28,Station_16,09:42:12,10:33:28,11.1,30.3,Rain,8.1,28.1,30.3,8.1,Parade,49042,91,1,0,4,Spring,1
T00036,2023-01-02,03:53:40,Bus,Route_10,Station_40,Station_44,18:04:37,18:36:03,13.3,39.0,Cloudy,4.5,25.2,60.3,0.7,Protest,31300,81,0,0,6,Winter,1
T00037,2023-01-02,16:39:56,Train,Route_10,Station_25,Station_23,15:09:06,15:23:08,3.1,41.0,Cloudy,14.4,89.7,37.4,0.1,None,0,32,0,0,5,Summer,1
T00038,2023-01-02,13:55:23,Train,Route_13,Station_14,Station_2,12:46:13,13:11:16,-1.5,2.4,Cloudy,8.6,46.0,27.7,0.5,Protest,2121,100,0,0,3,Summer,0
T00039,2023-01-02,04:36:12,Tram,Route_20,Station_27,Station_36,13:17:11,13:19:04,0.8,2.1,Clear,27.8,83.7,23.4,1.5,None,0,73,0,0,2,Summer,0
T00040,2023-01-02,08:45:04,Metro,Route_9,Station_37,Station_18,17:16:36,17:13:15,0.3,3.1,Cloudy,-3.6,81.9,67.1,1.3,Protest,25125,17,0,1,1,Summer,0
T00041,2023-01-02,15:02:42,Bus,Route_12,Station_35,Station_47,22:06:08,22:37:20,6.5,36.8,Snow,26.1,74.0,16.7,32.6,None,0,87,0,0,2,Summer,1
T00042,2023-01-02,04:14:49,Train,Route_19,Station_9,Station_43,15:51:33,15:19:28,-0.6,0.2,Clear,14.0,36.4,36.7,0.5,Festival,4618,19,1,0,6,Summer,0
T00043,2023-01-02,05:18:05,Metro,Route_8,Station_47,Station_6,17:37:41,18:36:16,7.6,42.9,Storm,30.3,54.0,33.9,18.5,Festival,44133,59,0,0,1,Summer,1
T00044,2023-01-02,21:54:14,Tram,Route_17,Station_15,Station_46,09:49:24,10:03:45,14.5,43.5,Clear,10.0,84.7,37.7,0.2,None,0,98,0,0,6,Winter,1
T00045,2023-01-02,10:55:06,Bus,Route_11,Station_41,Station_48,09:21:36,10:24:16,-0.8,3.3,Cloudy,-4.2,27.9,53.4,0.2,Parade,29929,78,0,0,1,Summer,0
T00046,2023-01-02,11:24:17,Train,Route_18,Station_16,Station_38,12:49:54,12:46:47,4.9,47.1,Rain,29.3,60.5,70.9,23.8,Concert,44494,52,0,0,0,Winter,1
T00047,2023-01-02,01:29:40,Tram,Route_10,Station_4,Station_14,12:37:38,12:23:13,11.1,38.7,Snow,1.0,32.3,12.6,17.6,Sports,38964,11,0,0,5,Winter,1
T00048,2023-01-02,01:53:23,Train,Route_13,Station_50,Station_34,15:17:51,15:06:43,0.3,-1.6,Clear,16.5,28.2,57.3,0.4,Sports,37302,91,0,0,3,Autumn,0
T00049,2023-01-03,15:10:23,Metro,Route_7,Station_30,Station_44,21:47:55,21:51:20,-1.9,-0.7,Clear,32.5,55.3,11.4,1.5,None,0,66,0,0,5,Winter,0
T00050,2023-01-03,07:22:13,Train,Route_13,Station_11,Station_41,20:39:42,21:44:58,9.8,37.8,Rain,36.6,44.8,0.5,10.5,None,0,59,0,1,6,Winter,1
T00051,2023-01-03,06:42:17,Train,Route_7,Station_1,Station_22,20:58:30,20:29:37,-1.5,2.4,Clear,6.1,85.7,0.6,0.9,Parade,5303,57,0,0,1,Spring,0
T00052,2023-01-03,04:44:59,Bus,Route_13,Station_7,Station_36,09:13:10,10:03:20,8.3,40.3,Rain,32.7,59.0,71.7,19.9,Protest,37379,73,0,0,3,Autumn,1
T00053,2023-01-03,18:43:41,Tram,Route_16,Station_9,Station_20,09:00:50,10:46:29,5.8,23.1,Snow,29.9,79.3,67.7,10.4,Protest,48911,91,0,1,1,Autumn,1
T00054,2023-01-03,22:04:38,Tram,Route_9,Station_47,Station_13,07:14:13,08:07:36,13.0,33.8,Clear,36.6,72.9,26.1,1.4,Parade,923,58,0,0,3,Summer,1
T00055,2023-01-03,06:40:10,Tram,Route_9,Station_9,Station_34,19:05:59,20:59:47,8.7,27.4,Snow,31.7,96.1,51.9,18.1,Concert,27921,43,0,0,1,Winter,1
T00056,2023-01-03,05:34:46,Bus,Route_7,Station_9,Station_24,20:51:39,21:05:48,0.6,-0.8,Clear,-1.0,40.8,12.0,0.8,Parade,48306,95,0,0,1,Summer,0
T00057,2023-01-03,18:15:10,Metro,Route_15,Station_42,Station_12,11:09:09,12:41:59,3.3,52.9,Snow,37.5,82.5,60.3,11.0,Parade,3817,99,0,1,3,Autumn,1
T00058,2023-01-03,12:29:24,Bus,Route_12,Station_44,Station_34,22:10:30,22:33:40,4.4,31.0,Storm,-3.9,35.0,79.9,24.2,None,0,20,0,0,2,Spring,1
T00059,2023-01-03,19:17:59,Metro,Route_11,Station_11,Station_17,20:55:00,20:36:34,6.0,22.8,Rain,10.5,89.0,75.6,29.6,Sports,31386,83,0,1,5,Spring,1
T00060,2023-01-03,17:40:44,Metro,Route_1,Station_33,Station_30,05:20:04,05:25:27,5.8,45.5,Storm,12.5,89.9,50.7,19.6,None,0,17,0,1,3,Autumn,1
T00061,2023-01-03,19:35:14,Train,Route_3,Station_27,Station_19,16:57:03,16:47:59,3.8,42.8,Snow,16.8,85.4,35.8,9.5,Festival,29474,43,0,1,4,Winter,1
T00062,2023-01-03,03:43:20,Metro,Route_1,Station_29,Station_45,22:08:32,22:19:54,-1.4,2.1,Clear,5.6,45.7,29.3,1.4,None,0,90,0,0,4,Autumn,0
T00063,2023-01-03,12:53:49,Tram,Route_18,Station_16,Station_43,05:51:28,05:45:25,-0.7,-2.6,Clear,0.6,31.7,22.1,1.4,Protest,48015,19,0,0,0,Spring,0
T00064,2023-01-03,10:49:03,Train,Route_18,Station_38,Station_24,18:27:42,18:37:13,-0.6,1.1,Clear,32.7,87.5,6.8,1.1,Protest,27328,26,0,0,3,Summer,0
T00065,2023-01-03,20:14:52,Tram,Route_2,Station_45,Station_36,08:30:20,08:27:21,-0.9,-1.3,Cloudy,23.9,67.2,16.8,1.0,Sports,44560,27,0,0,3,Spring,0
T00066,2023-01-03,15:02:51,Tram,Route_1,Station_37,Station_9,21:19:32,21:24:56,10.6,33.3,Rain,16.4,55.8,44.7,32.8,Festival,11384,92,0,0,4,Summer,1
T00067,2023-01-03,17:20:25,Train,Route_16,Station_46,Station_50,22:48:07,22:07:35,14.0,33.0,Cloudy,29.9,53.0,21.7,0.7,Parade,24659,10,0,1,0,Autumn,1
T00068,2023-01-03,21:17:04,Tram,Route_11,Station_6,Station_11,05:15:35,05:15:12,6.7,10.7,Rain,36.2,28.1,58.0,31.2,Protest,45922,10,0,0,0,Spring,1
T00069,2023-01-03,16:13:58,Bus,Route_7,Station_33,Station_44,18:25:24,18:56:20,9.8,23.1,Cloudy,5.1,71.8,61.4,1.3,Sports,30366,21,0,0,5,Winter,1
T00070,2023-01-03,15:36:56,Tram,Route_13,Station_50,Station_43,21:49:24,21:45:38,-0.1,-1.3,Clear,9.5,61.7,38.1,0.1,Parade,34592,97,0,0,5,Winter,0
T00071,2023-01-03,12:45:20,Train,Route_5,Station_27,Station_9,12:45:30,12:31:16,0.3,0.5,Clear,37.0,96.9,72.4,0.8,None,0,28,0,0,2,Autumn,0
T00072,2023-01-03,01:13:41,Bus,Route_4,Station_48,Station_1,08:22:19,08:40:42,5.3,32.3,Storm,19.5,74.0,65.2,33.4,None,0,22,0,0,0,Autumn,1
T00073,2023-01-04,17:31:25,Tram,Route_8,Station_18,Station_37,17:53:33,18:35:29,-1.2,-1.7,Cloudy,7.7,97.3,6.2,0.8,None,0,59,0,1,1,Summer,0
T00074,2023-01-04,07:56:58,Bus,Route_18,Station_45,Station_44,06:20:33,06:25:35,3.4,35.1,Cloudy,2.1,31.2,64.2,1.4,None,0,25,0,1,4,Winter,1
T00075,2023-01-04,02:41:29,Metro,Route_16,Station_47,Station_36,22:05:56,22:00:23,3.0,38.4,Clear,39.5,74.6,66.4,1.2,Festival,24839,73,0,0,4,Autumn,1
T00076,2023-01-04,08:09:16,Tram,Route_4,Station_32,Station_3,20:38:53,21:43:29,4.1,40.1,Storm,19.1,85.1,27.7,11.5,Protest,4577,29,1,1,5,Spring,1
T00077,2023-01-04,08:08:15,Tram,Route_12,Station_36,Station_33,22:13:10,22:03:49,2.8,2.8,Clear,33.8,68.9,39.4,1.0,None,0,27,0,1,3,Winter,0
T00078,2023-01-04,09:47:35,Bus,Route_18,Station_27,Station_20,19:40:53,20:11:15,2.7,44.1,Rain,23.6,69.2,5.6,28.5,None,0,83,0,1,5,Spring,1
T00079,2023-01-04,06:34:16,Metro,Route_20,Station_16,Station_46,17:17:45,17:47:44,6.6,32.9,Clear,15.0,32.5,21.3,0.3,Protest,28198,87,0,0,1,Autumn,1
T00080,2023-01-04,22:47:37,Metro,Route_16,Station_27,Station_41,13:09:53,14:30:54,4.5,26.7,Clear,33.6,45.7,76.1,0.7,Concert,3251,43,0,0,1,Autumn,1
T00081,2023-01-04,21:27:57,Train,Route_3,Station_49,Station_40,06:27:35,07:30:51,7.9,40.1,Rain,11.0,70.6,74.6,19.9,None,0,22,0,0,2,Summer,1
T00082,2023-01-04,00:37:25,Tram,Route_5,Station_1,Station_21,20:28:31,21:46:05,5.7,18.4,Rain,29.6,57.8,54.6,20.9,Sports,48767,50,0,0,5,Summer,1
T00083,2023-01-04,11:23:14,Bus,Route_5,Station_11,Station_17,11:44:50,11:34:16,2.7,39.0,Rain,15.4,89.0,1.5,13.0,Concert,29746,28,0,0,6,Autumn,1
T00084,2023-01-04,07:08:32,Train,Route_4,Station_25,Station_42,20:16:43,20:15:54,9.3,23.5,Clear,35.4,82.2,1.9,1.0,Concert,33169,41,0,1,0,Summer,1
T00085,2023-01-04,20:31:05,Metro,Route_4,Station_17,Station_6,09:07:35,09:00:51,11.2,42.1,Storm,17.6,62.8,47.6,10.6,Protest,36416,56,0,0,1,Spring,1
T00086,2023-01-04,11:48:03,Metro,Route_7,Station_32,Station_6,05:57:27,06:41:06,-1.2,3.8,Fog,9.7,69.0,18.4,0.6,Parade,28384,44,0,0,0,Winter,0
T00087,2023-01-04,15:55:07,Bus,Route_12,Station_19,Station_4,10:41:22,11:36:11,16.2,25.5,Storm,27.7,72.5,52.1,17.7,Protest,4805,30,1,0,5,Winter,1
T00088,2023-01-04,02:09:40,Tram,Route_8,Station_33,Station_26,06:11:01,06:10:01,9.6,42.9,Clear,33.7,72.4,7.7,0.3,None,0,46,0,0,5,Winter,1
T00089,2023-01-04,17:10:50,Train,Route_9,Station_6,Station_4,18:55:23,19:38:23,-1.7,2.8,Cloudy,33.3,75.7,79.0,1.1,Sports,49299,51,0,1,6,Autumn,0
T00090,2023-01-04,11:43:27,Train,Route_5,Station_17,Station_30,15:54:29,15:27:31,13.4,23.4,Cloudy,16.5,59.8,9.2,1.0,Sports,35131,79,0,0,1,Winter,1
T00091,2023-01-04,21:38:04,Tram,Route_4,Station_35,Station_9,08:49:42,08:15:13,14.1,29.5,Rain,14.8,29.9,26.9,19.3,Festival,7849,43,0,0,3,Winter,1
T00092,2023-01-04,02:24:24,Train,Route_20,Station_24,Station_45,05:22:46,06:12:54,8.0,35.8,Rain,1.7,96.4,7.8,22.8,Parade,28519,61,0,0,3,Autumn,1
T00093,2023-01-04,07:38:29,Train,Route_12,Station_36,Station_22,05:27:13,05:52:09,1.0,-0.8,Cloudy,-3.2,21.3,30.7,1.2,Sports,45500,20,1,1,6,Spring,0
T00094,2023-01-04,20:33:16,Tram,Route_5,Station_32,Station_5,16:39:35,17:44:45,5.6,27.2,Clear,36.9,21.3,26.9,1.0,None,0,81,0,0,6,Winter,1
T00095,2023-01-04,05:35:55,Train,Route_17,Station_17,Station_35,17:56:58,18:38:44,-0.9,2.4,Clear,27.6,95.1,51.7,1.0,Parade,24248,46,0,0,5,Autumn,0
T00096,2023-01-04,06:00:43,Tram,Route_17,Station_22,Station_17,11:12:24,11:30:13,1.9,25.3,Clear,21.0,59.6,68.7,1.4,Festival,29235,62,0,0,1,Autumn,1
T00097,2023-01-05,07:46:07,Bus,Route_20,Station_49,Station_14,20:23:11,21:50:43,12.6,17.6,Snow,21.3,85.4,64.8,30.7,Sports,45437,49,0,1,2,Summer,1
T00098,2023-01-05,12:43:56,Metro,Route_4,Station_49,Station_33,14:59:47,14:08:13,-0.7,-1.6,Clear,-3.9,50.9,58.6,1.3,Parade,7591,14,0,0,5,Winter,0
T00099,2023-01-05,01:34:48,Metro,Route_13,Station_2,Station_48,16:00:12,16:36:55,2.6,2.1,Clear,15.4,54.5,79.8,1.1,None,0,91,0,0,4,Summer,0
T00100,2023-01-05,14:17:49,Bus,Route_20,Station_36,Station_49,21:28:23,21:25:18,1.4,3.0,Cloudy,36.5,76.4,3.5,1.1,None,0,88,0,0,4,Autumn,0
T00101,2023-01-05,19:41:21,Train,Route_17,Station_25,Station_22,07:33:12,08:16:02,6.7,20.3,Clear,15.8,60.7,63.2,1.1,None,0,85,0,1,0,Autumn,1
T00102,2023-01-05,07:07:18,Bus,Route_5,Station_1,Station_43,18:00:37,19:11:55,12.1,28.3,Storm,21.1,92.0,10.4,6.2,None,0,29,0,1,2,Summer,1
T00103,2023-01-05,04:27:10,Train,Route_18,Station_32,Station_11,13:19:21,13:35:58,12.5,41.1,Cloudy,12.0,75.3,48.6,0.8,Protest,9800,56,0,0,6,Autumn,1
T00104,2023-01-05,08:29:00,Bus,Route_9,Station_2,Station_43,11:06:58,11:08:20,6.9,30.2,Storm,-0.3,62.2,64.9,33.0,None,0,34,0,1,3,Autumn,1
T00105,2023-01-05,15:46:56,Train,Route_10,Station_16,Station_48,16:23:58,16:15:48,3.0,38.9,Rain,9.6,86.4,52.9,9.3,Protest,35406,12,0,0,6,Winter,1
T00106,2023-01-05,12:46:16,Train,Route_12,Station_35,Station_26,21:16:32,22:10:52,0.2,2.0,Fog,-1.2,63.6,9.2,1.5,None,0,47,0,0,2,Summer,0
T00107,2023-01-05,14:32:48,Train,Route_16,Station_41,Station_27,21:58:00,22:25:59,7.3,24.1,Cloudy,21.0,44.0,14.7,1.3,None,0,99,0,0,5,Summer,1
T00108,2023-01-05,19:11:32,Metro,Route_3,Station_21,Station_29,13:38:17,13:51:57,3.3,46.8,Rain,39.2,29.6,71.0,31.4,None,0,84,0,1,5,Autumn,1
T00109,2023-01-05,22:58:06,Tram,Route_11,Station_41,Station_4,14:02:41,15:29:24,6.0,17.4,Rain,11.3,48.0,72.9,21.3,None,0,30,0,0,4,Summer,1
T00110,2023-01-05,10:55:40,Metro,Route_17,Station_42,Station_43,11:17:41,11:39:55,2.2,2.0,Clear,33.6,70.8,59.7,0.7,None,0,36,0,0,5,Summer,0
T00111,2023-01-05,18:19:53,Tram,Route_11,Station_23,Station_37,21:30:25,21:37:41,4.5,25.9,Storm,-3.1,98.5,23.5,8.6,Parade,48118,29,0,1,0,Summer,1
T00112,2023-01-05,11:40:32,Train,Route_6,Station_9,Station_44,21:02:44,21:11:16,-0.6,-2.3,Cloudy,17.7,79.6,20.0,0.2,Sports,31175,12,0,0,2,Spring,0
T00113,2023-01-05,03:38:12,Metro,Route_2,Station_33,Station_6,14:45:16,14:10:28,-1.0,3.4,Cloudy,24.5,69.5,5.8,0.0,Sports,36865,33,0,0,0,Spring,0
T00114,2023-01-05,14:09:23,Tram,Route_11,Station_1,Station_41,05:17:40,05:30:58,2.6,41.2,Cloudy,9.4,36.2,37.4,0.3,Protest,48483,84,1,0,4,Autumn,1
T00115,2023-01-05,22:48:10,Metro,Route_15,Station_45,Station_19,11:03:36,11:15:39,10.1,15.8,Rain,-0.6,76.6,31.6,32.4,Parade,35077,31,0,0,2,Autumn,1
T00116,2023-01-05,10:34:49,Metro,Route_11,Station_20,Station_41,14:52:01,15:59:45,1.4,2.5,Cloudy,4.8,61.8,19.6,1.4,None,0,59,0,0,3,Summer,0
T00117,2023-01-05,12:59:33,Bus,Route_20,Station_39,Station_50,19:55:45,19:10:14,0.1,-2.4,Cloudy,-1.8,79.1,52.0,0.6,Sports,27492,45,0,0,5,Spring,0
T00118,2023-01-05,17:58:00,Bus,Route_13,Station_37,Station_44,21:59:30,22:46:34,-1.3,-0.2,Clear,35.0,49.2,16.6,1.0,Sports,4387,25,0,1,5,Winter,0
T00119,2023-01-05,19:38:20,Bus,Route_11,Station_24,Station_46,06:38:40,06:55:21,5.0,45.3,Cloudy,-4.8,58.3,7.1,0.7,None,0,93,0,1,4,Spring,1
T00120,2023-01-05,00:31:01,Bus,Route_2,Station_49,Station_6,21:29:31,22:41:09,1.0,1.6,Clear,-1.9,62.1,34.6,0.0,None,0,86,0,0,0,Spring,0
T00121,2023-01-06,01:07:59,Tram,Route_12,Station_40,Station_17,08:11:30,08:02:08,8.9,39.5,Snow,30.8,49.0,58.2,35.0,Parade,46151,92,0,0,4,Autumn,1
T00122,2023-01-06,11:23:56,Metro,Route_4,Station_45,Station_15,07:47:55,07:15:43,2.0,-0.3,Cloudy,8.5,66.3,14.7,0.6,Festival,15637,90,0,0,2,Summer,0
T00123,2023-01-06,02:53:51,Metro,Route_15,Station_5,Station_26,21:41:48,21:11:01,16.9,36.4,Storm,11.4,42.1,47.0,29.2,Festival,3723,92,0,0,6,Spring,1
T00124,2023-01-06,22:19:15,Tram,Route_4,Station_25,Station_49,19:34:51,19:36:06,2.6,25.8,Rain,8.8,26.1,7.0,18.9,None,0,53,1,0,2,Autumn,1
T00125,2023-01-06,16:03:15,Train,Route_19,Station_48,Station_35,21:06:02,21:16:44,13.0,40.0,Rain,35.1,34.3,21.5,7.2,Festival,15219,17,0,0,5,Spring,1
T00126,2023-01-06,14:56:36,Metro,Route_7,Station_41,Station_28,11:23:01,11:00:04,10.0,23.6,Storm,36.8,59.5,66.8,12.3,None,0,87,0,0,4,Autumn,1
T00127,2023-01-06,14:05:05,Bus,Route_9,Station_23,Station_41,14:39:57,14:27:39,2.8,-2.2,Clear,36.8,25.4,11.7,1.2,None,0,58,0,0,2,Summer,0
T00128,2023-01-06,11:46:31,Train,Route_3,Station_4,Station_9,18:45:09,18:12:14,4.4,34.3,Fog,8.8,50.9,53.3,1.2,Parade,17839,44,0,0,1,Spring,1
T00129,2023-01-06,01:52:04,Metro,Route_5,Station_15,Station_34,16:45:47,17:48:51,-1.0,-1.6,Clear,4.0,74.1,1.1,0.4,None,0,52,1,0,1,Autumn,0
T00130,2023-01-06,18:48:34,Metro,Route_19,Station_29,Station_26,05:11:55,05:11:33,2.7,0.8,Clear,32.3,61.0,43.9,0.4,Protest,16837,90,1,1,3,Summer,0
T00131,2023-01-06,11:49:08,Metro,Route_6,Station_33,Station_11,19:54:08,20:17:18,0.1,3.3,Cloudy,33.2,64.3,19.4,0.4,None,0,100,0,0,6,Autumn,0
T00132,2023-01-06,09:08:42,Metro,Route_11,Station_47,Station_33,05:05:26,05:08:13,12.7,32.5,Rain,10.9,78.0,17.8,11.0,Festival,10658,38,0,1,6,Winter,1
T00133,2023-01-06,10:30:35,Bus,Route_20,Station_5,Station_43,06:53:54,06:19:31,14.0,42.9,Snow,21.0,29.7,40.3,12.3,Concert,5879,53,0,0,2,Spring,1
T00134,2023-01-06,11:10:16,Metro,Route_13,Station_20,Station_42,08:07:03,08:42:04,9.3,49.5,Clear,12.6,41.1,79.0,0.2,Festival,38120,96,0,0,0,Spring,1
T00135,2023-01-06,22:33:55,Train,Route_1,Station_14,Station_43,17:28:40,18:38:37,12.4,46.9,Rain,-4.3,53.8,18.7,33.4,Parade,30789,78,0,0,1,Summer,1
T00136,2023-01-06,04:38:27,Tram,Route_8,Station_49,Station_41,15:45:03,16:33:09,14.4,17.1,Clear,13.5,41.5,44.1,0.8,Sports,30060,77,0,0,3,Autumn,1
T00137,2023-01-06,04:13:59,Metro,Route_8,Station_9,Station_24,20:20:06,20:56:38,-1.4,-2.8,Clear,35.3,55.1,30.3,1.0,Protest,6786,38,0,0,2,Winter,0
T00138,2023-01-06,02:34:48,Bus,Route_6,Station_12,Station_3,21:54:34,21:00:51,3.2,22.1,Clear,33.6,91.5,55.6,1.5,None,0,81,0,0,0,Winter,1
T00139,2023-01-06,14:46:44,Tram,Route_5,Station_15,Station_49,07:17:54,07:43:30,12.2,25.5,Fog,-0.3,29.2,74.4,1.2,Parade,38098,58,0,0,1,Summer,1
T00140,2023-01-06,00:12:45,Tram,Route_11,Station_6,Station_23,19:12:41,20:21:52,13.7,25.2,Cloudy,8.8,43.6,33.8,0.6,Sports,39828,97,0,0,4,Spring,1
T00141,2023-01-06,19:19:25,Train,Route_8,Station_33,Station_32,18:39:47,19:20:55,1.6,3.0,Clear,-1.7,89.4,72.7,1.2,Protest,39340,35,0,1,1,Summer,0
